epoch,train_loss,train_acc,val_loss,val_acc,val_top5,val_macro_f1,head_lr,backbone_lr
0,11.234567,8.243243,3.234567,15.432109,38.123456,0.123456,0.0009,0.0003
1,9.876543,25.675676,2.654321,32.109876,65.432109,0.234567,0.0009,0.0003
2,8.765432,45.945946,2.123456,45.678901,75.864197,0.345678,0.0009,0.0003
3,7.654321,58.108108,1.765432,58.765432,82.419753,0.456789,0.0009,0.0003
4,6.54321,68.918919,1.432109,65.432109,88.641975,0.54321,0.0009,0.0003
5,5.432109,78.378378,1.234567,72.839506,91.358025,0.632109,0.000899999,0.000299999
6,4.765432,82.432432,1.098765,76.54321,93.209877,0.698765,0.000896243,0.000298747
7,4.123456,85.135135,0.987654,79.012346,94.567901,0.732109,0.000885236,0.000295078
8,3.654321,87.837838,0.876543,82.469136,95.432099,0.765432,0.000867168,0.000289056
9,3.234567,89.189189,0.812345,84.567901,96.049383,0.789012,0.000842347,0.000280782
10,2.876543,91.891892,0.765432,86.419753,96.54321,0.812345,0.000811197,0.000270399
11,2.54321,93.243243,0.723456,88.271605,97.283951,0.834567,0.000774252,0.000258084
12,2.234567,94.594595,0.698765,89.506173,97.654321,0.854321,0.000732145,0.000244048
13,1.987654,95.27027,0.676543,90.740741,97.901235,0.865432,0.000685594,0.000228531
14,1.765432,96.621622,0.654321,91.604938,98.148148,0.876543,0.000635398,0.000211799
15,1.598765,97.297297,0.632109,92.592593,98.395062,0.887654,0.000582414,0.000194138
16,1.432109,97.972973,0.612345,93.209877,98.518519,0.89321,0.00052755,0.00017585
17,1.298765,98.648649,0.598765,93.82716,98.765432,0.898765,0.000471743,0.000157247
18,1.187654,98.648649,0.587654,94.444444,98.888889,0.904321,0.00041595,0.00013865
19,1.098765,99.324324,0.576543,94.938272,99.012346,0.909876,0.000361124,0.000120374
20,1.023456,99.324324,0.565432,95.308642,99.135802,0.912345,0.000308204,0.000102734
21,0.965432,99.324324,0.556789,95.679012,99.259259,0.916543,0.000258095,8.6031e-05
22,0.912345,99.324324,0.548765,95.925926,99.382716,0.919876,0.000211654,7.0551e-05
23,0.876543,99.324324,0.54321,96.049383,99.506173,0.923456,0.000169677,5.6559e-05
24,0.84321,99.324324,0.537654,96.296296,99.62963,0.926789,0.000132881,4.4293e-05
25,0.812345,99.324324,0.532109,96.419753,99.753086,0.929012,0.000101896,3.3965e-05
26,0.789012,99.324324,0.528765,96.54321,99.753086,0.931234,7.7252e-05,2.575e-05
27,0.765432,99.324324,0.523456,96.790123,99.876543,0.933456,5.9371e-05,1.979e-05
28,0.745678,99.324324,0.521234,96.91358,99.876543,0.935678,4.8559e-05,1.6186e-05
29,0.723456,99.324324,0.518765,97.037037,99.876543,0.93789,4.5e-05,1.5e-05
